income_tier,rule_a_harm_rate,rule_b_harm_rate,rule_a_n,rule_b_n
Above 4x poverty line,0.2222222222222222,0.026217228464419477,54,267
Middle (2-4x),0.06451612903225806,0.0883054892601432,155,419
Near poverty (1-2x),0.0410958904109589,0.15555555555555556,146,225
Below poverty line,0.009259259259259259,0.2222222222222222,108,162
