income_tier,fnr_original,fnr_optimal_threshold,fnr_class_weighted
Above 4x poverty line,0.6666666666666667,0.38888888888888884,0.6481481481481481
Below poverty line,0.43518518518518523,0.16666666666666663,0.4444444444444444
Middle (2-4x),0.43870967741935485,0.2451612903225806,0.4258064516129032
Near poverty (1-2x),0.4383561643835616,0.23287671232876717,0.43150684931506844
