income_tier,total_n,mean_abs_calibration_error,max_abs_calibration_error
Middle (2-4x),1645,0.02940911854103343,0.05218237082066869
Below poverty line,939,0.028363158493571516,0.061368983957219236
Near poverty (1-2x),1131,0.020065276207555244,0.04250442477876104
Above 4x poverty line,1018,0.018944373611513566,0.03239408866995072
