income_tier,rule_a_harm_rate,rule_b_harm_rate,rule_a_n,rule_b_n
Above 4x poverty line,0.1038961038961039,0.052083333333333336,154,864
Middle (2-4x),0.06905370843989769,0.08851674641148326,391,1254
Below poverty line,0.028735632183908046,0.1658206429780034,348,591
Near poverty (1-2x),0.028205128205128206,0.13765182186234817,390,741
