race_eth_label_orig,n,sensitivity,specificity,false_negative_rate,false_positive_rate
Non-Hispanic Asian,889,0.359375,0.9710906701708278,0.640625,0.02890932982917216
Mexican American,847,0.3902439024390244,0.9484193011647255,0.6097560975609756,0.0515806988352745
Other Race - Including Multi-Racial,329,0.464,0.9509803921568627,0.536,0.0490196078431373
Non-Hispanic White,2123,0.5373891001267427,0.9212893553223388,0.4626108998732573,0.0787106446776612
Non-Hispanic Black,1415,0.5667506297229219,0.9518664047151277,0.4332493702770781,0.048133595284872266
Other Hispanic,558,0.5828571428571429,0.9556135770234987,0.41714285714285715,0.044386422976501305
