education_missing_flag,n,pct_insurance_missing,pct_healthcare_place_missing,pct_work_status_missing,pct_special_equipment_missing
Answered,17042,0.1877713883347025,0.011735711770918906,59.4061729843915,0.005867855885459453
Missing,1910,0.7853403141361256,0,44.60732984293194,99.21465968586386
