education_orig,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
9-11th grade (Includes 12th grade with no diploma),155,0.7225806451612903,0.625,0.8072289156626506,0.375,0.19277108433734935
Missing,145,0.7586206896551724,0.05714285714285714,0.9818181818181818,0.9428571428571428,0.018181818181818188
High school graduate/GED or equivalent,346,0.7658959537572254,0.5462184873949579,0.8810572687224669,0.45378151260504207,0.11894273127753308
Less than 9th grade,104,0.7980769230769231,0.75,0.8392857142857143,0.25,0.1607142857142857
Some college or AA degree,450,0.8155555555555556,0.5114503816793893,0.9404388714733543,0.4885496183206107,0.059561128526645746
College graduate or above,333,0.8798798798798799,0.4107142857142857,0.9747292418772563,0.5892857142857143,0.02527075812274371
Don't know,2,1,1,0,0,1
Refused,1,1,0,1,1,0
