income_tier,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
Below poverty line,270,0.7222222222222222,0.5648148148148148,0.8271604938271605,0.43518518518518523,0.1728395061728395
Near poverty (1-2x),371,0.7520215633423181,0.5616438356164384,0.8755555555555555,0.4383561643835616,0.12444444444444447
Middle (2-4x),574,0.8292682926829268,0.5612903225806452,0.9284009546539379,0.43870967741935485,0.0715990453460621
Above 4x poverty line,321,0.8753894080996885,0.3333333333333333,0.9850187265917603,0.6666666666666667,0.014981273408239737
