education_orig,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
9-11th grade (Includes 12th grade with no diploma),155,0.7290322580645161,0.6388888888888888,0.8072289156626506,0.36111111111111116,0.19277108433734935
Missing,145,0.7379310344827587,0.05714285714285714,0.9545454545454546,0.9428571428571428,0.045454545454545414
High school graduate/GED or equivalent,346,0.7716763005780347,0.5630252100840336,0.8810572687224669,0.4369747899159664,0.11894273127753308
Less than 9th grade,104,0.7788461538461539,0.7291666666666666,0.8214285714285714,0.27083333333333337,0.1785714285714286
Some college or AA degree,450,0.8133333333333334,0.5343511450381679,0.9278996865203761,0.46564885496183206,0.07210031347962387
College graduate or above,333,0.8828828828828829,0.4642857142857143,0.9675090252707581,0.5357142857142857,0.032490974729241895
Don't know,2,1,1,0,0,1
Refused,1,1,0,1,1,0
