income_tier,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
Above 4x poverty line,1018,0.8821218074656189,0.35064935064935066,0.9768518518518519,0.6493506493506493,0.02314814814814814
Middle (2-4x),1645,0.8498480243161094,0.4782608695652174,0.9657097288676236,0.5217391304347826,0.03429027113237637
Near poverty (1-2x),1131,0.8001768346595933,0.5743589743589743,0.9190283400809717,0.4256410256410257,0.08097165991902833
Below poverty line,939,0.7976570820021299,0.603448275862069,0.9120135363790186,0.39655172413793105,0.08798646362098139
