race_eth_label_orig,total_n,mean_abs_calibration_error,max_abs_calibration_error
Other Race - Including Multi-Racial,193,0.05599109311740889,0.10579487179487179
Non-Hispanic Black,1022,0.038500966044954545,0.05606862745098029
Mexican American,728,0.03749736419461504,0.06802739726027399
Non-Hispanic Asian,600,0.028566666666666664,0.05658333333333333
Non-Hispanic White,1699,0.02388194690265486,0.041888235294117615
Other Hispanic,491,0.006229767058338486,0.021163265306122447
