race_eth_label,fnr_original,fnr_optimal_threshold,fnr_class_weighted
Mexican American,0.5081967213114754,0.2622950819672131,0.5081967213114754
Non-Hispanic Asian,0.53125,0.34375,0.53125
Non-Hispanic Black,0.41414141414141414,0.202020202020202,0.4444444444444444
Non-Hispanic White,0.46192893401015234,0.2284263959390863,0.4416243654822335
Other Hispanic,0.5116279069767442,0.2325581395348837,0.4651162790697675
Other Race - Including Multi-Racial,0.4193548387096774,0.29032258064516125,0.4193548387096774
