income_tier,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
Below poverty line,270,0.7444444444444445,0.5555555555555556,0.8703703703703703,0.4444444444444444,0.12962962962962965
Near poverty (1-2x),371,0.7601078167115903,0.5547945205479452,0.8933333333333333,0.4452054794520548,0.10666666666666669
Middle (2-4x),574,0.818815331010453,0.535483870967742,0.9236276849642004,0.46451612903225803,0.07637231503579955
Above 4x poverty line,321,0.8722741433021807,0.2962962962962963,0.9887640449438202,0.7037037037037037,0.011235955056179803
