race_eth_label_orig,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
Non-Hispanic White,530,0.7603773584905661,0.5482233502538071,0.8858858858858859,0.4517766497461929,0.1141141141141141
Other Race - Including Multi-Racial,82,0.7682926829268293,0.5483870967741935,0.9019607843137255,0.4516129032258065,0.0980392156862745
Mexican American,211,0.8056872037914692,0.45901639344262296,0.9466666666666667,0.540983606557377,0.053333333333333344
Non-Hispanic Black,353,0.8158640226628895,0.5555555555555556,0.9173228346456693,0.4444444444444444,0.08267716535433067
Other Hispanic,138,0.8188405797101449,0.4883720930232558,0.968421052631579,0.5116279069767442,0.03157894736842104
Non-Hispanic Asian,222,0.8828828828828829,0.34375,0.9736842105263158,0.65625,0.02631578947368418
