group_type,group,n_iterations,mean_sensitivity,ci_low_sensitivity,ci_high_sensitivity,mean_fnr,ci_low_fnr,ci_high_fnr,mean_specificity,ci_low_specificity,ci_high_specificity
income,Near poverty (1-2x),5000,0.5949497871761776,0.518796992481203,0.6692307692307692,0.40505021282382236,0.3307692307692308,0.48120300751879697,0.9008015945228257,0.8636363636363636,0.9372384937238494
income,Below poverty line,5000,0.5942270128160227,0.5094339622641509,0.6806657714632245,0.40577298718397725,0.3193342285367755,0.49056603773584906,0.8759048335538813,0.821656050955414,0.9235679847841473
income,Middle (2-4x),5000,0.5127981873842816,0.4430379746835443,0.5838926174496645,0.4872018126157184,0.4161073825503355,0.5569620253164558,0.9317996148475849,0.9075819294057956,0.9549797012208814
income,Above 4x poverty line,5000,0.38393243963990026,0.2777777777777778,0.5,0.6160675603600998,0.5,0.7222222222222222,0.9790534772009173,0.960780453913849,0.9930795847750865
race,Non-Hispanic Black,5000,0.580394589166519,0.48484848484848486,0.6666666666666666,0.419605410833481,0.33333333333333337,0.5151515151515151,0.9332393700787401,0.9015748031496063,0.9606299212598425
race,Non-Hispanic White,5000,0.5774730964467005,0.5126903553299492,0.6446700507614214,0.42252690355329947,0.35532994923857864,0.4873096446700508,0.8988042042042041,0.8648648648648649,0.9309309309309309
race,Other Hispanic,5000,0.5730511627906977,0.4418604651162791,0.6976744186046512,0.4269488372093023,0.3023255813953488,0.5581395348837209,0.9372,0.8842105263157894,0.9789473684210527
race,Other Race - Including Multi-Racial,5000,0.515858064516129,0.3548387096774194,0.6774193548387096,0.48414193548387097,0.32258064516129037,0.6451612903225806,0.9322470588235294,0.8627450980392157,0.9803921568627451
race,Mexican American,5000,0.4255245901639344,0.3114754098360656,0.5409836065573771,0.5744754098360656,0.4590163934426229,0.6885245901639344,0.9308906666666666,0.8866666666666667,0.9666666666666667
race,Non-Hispanic Asian,5000,0.351175,0.21875,0.5,0.648825,0.5,0.78125,0.9685231578947369,0.9421052631578948,0.9894736842105263
