race_eth_label,rule_a_harm_rate,rule_b_harm_rate,rule_a_n,rule_b_n
Non-Hispanic Asian,0.125,0.04736842105263158,32,190
Mexican American,0.08196721311475409,0.09333333333333334,61,150
Non-Hispanic Black,0.08080808080808081,0.11811023622047244,99,254
Other Hispanic,0.046511627906976744,0.08421052631578947,43,95
Non-Hispanic White,0.04568527918781726,0.14114114114114115,197,333
Other Race - Including Multi-Racial,0.03225806451612903,0.13725490196078433,31,51
