race_eth_label,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
Non-Hispanic Asian,600,0.895,0.32098765432098764,0.9845857418111753,0.6790123456790124,0.015414258188824692
Mexican American,728,0.8282967032967034,0.47,0.9640151515151515,0.53,0.03598484848484851
Other Hispanic,491,0.8085539714867617,0.5070422535211268,0.9312320916905444,0.49295774647887325,0.06876790830945556
Non-Hispanic White,1699,0.811065332548558,0.5547309833024119,0.9301724137931034,0.4452690166975881,0.06982758620689655
Non-Hispanic Black,1022,0.8542074363992173,0.5581395348837209,0.9541884816753927,0.4418604651162791,0.04581151832460728
Other Race - Including Multi-Racial,193,0.8393782383419689,0.6349206349206349,0.9384615384615385,0.3650793650793651,0.06153846153846154
