race_eth_label,n,accuracy,sensitivity,specificity,false_negative_rate,false_positive_rate
Non-Hispanic White,530,0.7603773584905661,0.5380710659898477,0.8918918918918919,0.46192893401015234,0.10810810810810811
Other Race - Including Multi-Racial,82,0.7926829268292683,0.5806451612903226,0.9215686274509803,0.4193548387096774,0.07843137254901966
Mexican American,211,0.7962085308056872,0.4918032786885246,0.92,0.5081967213114754,0.07999999999999996
Non-Hispanic Black,353,0.8101983002832861,0.5858585858585859,0.8976377952755905,0.41414141414141414,0.10236220472440949
Other Hispanic,138,0.8115942028985508,0.4883720930232558,0.9578947368421052,0.5116279069767442,0.04210526315789476
Non-Hispanic Asian,222,0.8873873873873874,0.46875,0.9578947368421052,0.53125,0.04210526315789476
