income_tier,n,sensitivity,specificity,false_negative_rate,false_positive_rate
Above 4x poverty line,1327,0.3745019920318725,0.9730483271375465,0.6254980079681275,0.02695167286245348
Middle (2-4x),2306,0.48909657320872274,0.9573317307692307,0.5109034267912773,0.042668269230769273
Near poverty (1-2x),1492,0.5596330275229358,0.925026399155227,0.44036697247706424,0.074973600844773
Below poverty line,1036,0.5639810426540285,0.8973941368078175,0.4360189573459715,0.10260586319218246
